"id","class","product_id","general","notes","store_id","insert_uid","insert_date","update_uid","update_date","vendor_id","amount"
"96","0","54595","0","فاتورة البيع","1","1","7/3/2021 7:30:43 PM","","7/3/2021 7:30:43 PM","0","0"
"97","0","47753","0","فاتورة البيع","1","1","9/22/2021 5:41:30 PM","","9/22/2021 5:41:30 PM","0","0"
"98","0","62823","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"99","0","13806","0","فاتورة البيع","1","1","4/30/2024 9:47:11 AM","","4/30/2024 9:47:11 AM","0","0"
"100","0","55117","0","فاتورة البيع","1","1","11/13/2021 12:07:36 PM","","11/13/2021 12:07:36 PM","0","0"
"101","0","60455","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"102","0","58951","0","فاتورة البيع","1","1","6/13/2022 4:50:11 PM","","6/13/2022 4:50:11 PM","0","0"
"103","0","30279","0","فاتورة البيع","1","1","6/30/2021 1:22:06 PM","","6/30/2021 1:22:06 PM","0","0"
"104","0","56697","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"105","0","47925","0","فاتورة البيع","1","1","10/19/2023 6:25:33 PM","","10/19/2023 6:25:33 PM","0","0"
"106","0","27048","0","فاتورة البيع","1","1","1/11/2023 5:45:44 PM","","1/11/2023 5:45:44 PM","0","0"
"107","0","66342","0","فاتورة البيع","1","1","12/1/2023 1:33:03 AM","","12/1/2023 1:33:03 AM","0","0"
"108","0","65396","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"109","0","58459","0","فاتورة البيع","1","1","11/15/2021 8:00:44 PM","","11/15/2021 8:00:44 PM","0","0"
"110","0","2575","0","فاتورة البيع","1","1","7/1/2021 11:42:38 PM","","7/1/2021 11:42:38 PM","0","0"
"111","0","64201","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"112","0","66431","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"113","0","63654","0","فاتورة البيع","1","1","8/21/2021 1:47:32 PM","","8/21/2021 1:47:32 PM","0","0"
"114","0","12793","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"115","0","30067","0","فاتورة البيع","1","1","7/31/2023 10:14:37 PM","","7/31/2023 10:14:37 PM","0","0"
"116","0","53742","0","فاتورة البيع","1","1","7/29/2022 7:31:47 PM","","7/29/2022 7:31:47 PM","0","0"
"117","0","26525","0","فاتورة البيع","1","1","10/12/2021 2:15:02 PM","","10/12/2021 2:15:02 PM","0","0"
"118","0","63863","0","فاتورة البيع","1","1","10/12/2021 2:14:47 PM","","10/12/2021 2:14:47 PM","0","0"
"119","0","56217","0","فاتورة البيع","1","1","11/10/2021 6:06:15 PM","","11/10/2021 6:06:15 PM","0","0"
"120","0","34011","0","فاتورة البيع","1","1","9/24/2021 9:09:41 PM","","9/24/2021 9:09:41 PM","0","0"
"121","0","12725","0","فاتورة البيع","1","1","12/27/2021 9:49:20 PM","","12/27/2021 9:49:20 PM","0","0"
"122","0","26161","0","فاتورة البيع","1","1","7/7/2021 9:10:36 PM","","7/7/2021 9:10:36 PM","0","0"
"123","0","58231","0","فاتورة البيع","1","1","3/10/2022 4:11:30 PM","","3/10/2022 4:11:30 PM","0","0"
"124","0","46895","0","فاتورة البيع","1","1","7/7/2021 3:10:36 PM","","7/7/2021 3:10:36 PM","0","0"
"125","0","21380","0","فاتورة البيع","1","1","12/13/2021 4:09:42 PM","","12/13/2021 4:09:42 PM","0","0"
"126","0","30278","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"127","0","63295","0","فاتورة البيع","1","1","9/30/2021 2:58:49 PM","","9/30/2021 2:58:49 PM","0","0"
"128","0","65795","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"129","0","66432","0","فاتورة البيع","1","1","11/29/2023 6:37:59 PM","","11/29/2023 6:37:59 PM","0","0"
"130","0","56346","0","فاتورة البيع","1","1","12/6/2021 1:26:57 PM","","12/6/2021 1:26:57 PM","0","0"
"131","0","43317","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"132","0","55244","0","فاتورة البيع","1","1","7/9/2021 7:47:32 PM","","7/9/2021 7:47:32 PM","0","0"
"133","0","66351","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"134","0","35651","0","فاتورة البيع","1","1","8/18/2023 3:26:13 PM","","8/18/2023 3:26:13 PM","0","0"
"135","0","2378","0","فاتورة البيع","1","1","12/30/2021 11:55:52 AM","","12/30/2021 11:55:52 AM","0","0"
"136","0","57618","0","فاتورة البيع","1","1","10/24/2021 5:04:37 PM","","10/24/2021 5:04:37 PM","0","0"
"137","0","53499","0","فاتورة البيع","1","1","8/27/2023 2:11:05 PM","","8/27/2023 2:11:05 PM","0","0"
"138","0","63405","0","فاتورة البيع","1","1","10/12/2021 2:15:00 PM","","10/12/2021 2:15:00 PM","0","0"
"139","0","63372","0","فاتورة البيع","1","1","7/30/2022 11:32:38 AM","","7/30/2022 11:32:38 AM","0","0"
"140","0","16778","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"141","0","58059","0","فاتورة البيع","1","1","10/9/2021 6:37:03 PM","","10/9/2021 6:37:03 PM","0","0"
"142","0","59931","0","فاتورة البيع","1","1","7/11/2021 6:49:16 PM","","7/11/2021 6:49:16 PM","0","0"
"143","0","47271","0","فاتورة البيع","1","1","11/15/2021 8:08:49 PM","","11/15/2021 8:08:49 PM","0","0"
"144","0","51671","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"145","0","22157","0","فاتورة البيع","1","1","5/10/2022 9:42:45 PM","","5/10/2022 9:42:45 PM","0","0"
"146","0","49675","0","فاتورة البيع","1","1","3/31/2024 1:05:01 AM","","3/31/2024 1:05:01 AM","0","0"
"147","0","5372","0","فاتورة البيع","1","1","11/15/2021 8:05:34 PM","","11/15/2021 8:05:34 PM","0","0"
"148","0","47335","0","فاتورة البيع","1","1","10/10/2023 6:31:29 PM","","10/10/2023 6:31:29 PM","0","0"
"149","0","64896","0","فاتورة البيع","1","1","6/22/2024 12:23:26 AM","","6/22/2024 12:23:26 AM","0","0"
"150","0","10735","0","فاتورة البيع","1","1","11/20/2023 11:15:02 AM","","11/20/2023 11:15:02 AM","0","0"
"151","0","18202","0","فاتورة البيع","1","1","8/24/2023 7:35:04 PM","","8/24/2023 7:35:04 PM","0","0"
"152","0","52047","0","فاتورة البيع","1","1","7/26/2022 6:35:58 PM","","7/26/2022 6:35:58 PM","0","0"
"153","0","56933","0","فاتورة البيع","1","1","5/7/2022 2:13:27 PM","","5/7/2022 2:13:27 PM","0","0"
"154","0","41593","0","فاتورة البيع","1","1","7/29/2022 8:10:25 PM","","7/29/2022 8:10:25 PM","0","0"
"155","0","61908","0","فاتورة البيع","1","1","7/29/2022 7:37:03 PM","","7/29/2022 7:37:03 PM","0","0"
"156","0","55488","0","فاتورة البيع","1","1","2/9/2024 7:17:41 PM","","2/9/2024 7:17:41 PM","0","0"
"157","0","5865","0","فاتورة البيع","1","1","11/15/2021 10:38:09 PM","","11/15/2021 10:38:09 PM","0","0"
"158","0","62994","0","فاتورة البيع","1","1","2/8/2022 8:17:37 PM","","2/8/2022 8:17:37 PM","0","0"
"159","0","62932","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"160","0","17050","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"161","0","18148","0","فاتورة البيع","1","1","10/21/2023 9:40:10 PM","","10/21/2023 9:40:10 PM","0","0"
"162","0","48665","0","فاتورة البيع","1","1","8/6/2022 11:31:51 AM","","8/6/2022 11:31:51 AM","0","0"
"163","0","62648","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"164","0","66279","0","فاتورة البيع","1","1","7/29/2022 7:04:09 PM","","7/29/2022 7:04:09 PM","0","0"
"165","0","23435","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"166","0","66411","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"167","0","66402","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"168","0","66335","0","فاتورة البيع","1","1","8/7/2022 10:27:42 PM","","8/7/2022 10:27:42 PM","0","0"
"169","0","64813","0","فاتورة البيع","1","1","7/18/2021 11:22:46 PM","","7/18/2021 11:22:46 PM","0","0"
"170","0","63126","0","فاتورة البيع","1","1","11/10/2021 12:28:07 AM","","11/10/2021 12:28:07 AM","0","0"
"171","0","32222","0","فاتورة البيع","1","1","11/16/2021 12:44:16 AM","","11/16/2021 12:44:16 AM","0","0"
"172","0","55034","0","فاتورة البيع","1","1","7/14/2023 9:29:37 PM","","7/14/2023 9:29:37 PM","0","0"
"173","0","66230","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"174","0","64859","0","فاتورة البيع","1","1","11/13/2021 12:07:42 PM","","11/13/2021 12:07:42 PM","0","0"
"175","0","63243","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"176","0","58363","0","فاتورة البيع","1","1","7/29/2022 7:37:40 PM","","7/29/2022 7:37:40 PM","0","0"
"177","0","66433","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"178","0","27484","0","فاتورة البيع","1","1","10/12/2021 2:14:43 PM","","10/12/2021 2:14:43 PM","0","0"
"179","0","57366","0","فاتورة البيع","1","1","10/12/2021 2:14:44 PM","","10/12/2021 2:14:44 PM","0","0"
"180","0","11371","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"181","0","66216","0","فاتورة البيع","1","1","10/27/2023 8:14:30 PM","","10/27/2023 8:14:30 PM","0","0"
"182","0","54677","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"183","0","57972","0","فاتورة البيع","1","1","1/15/2022 6:20:28 PM","","1/15/2022 6:20:28 PM","0","0"
"184","0","66290","0","فاتورة البيع","1","1","11/10/2021 5:53:25 PM","","11/10/2021 5:53:25 PM","0","0"
"185","0","63284","0","فاتورة البيع","1","1","9/11/2021 12:54:22 PM","","9/11/2021 12:54:22 PM","0","0"
"186","0","14638","0","فاتورة البيع","1","1","10/25/2021 7:38:43 PM","","10/25/2021 7:38:43 PM","0","0"
"187","0","61858","0","فاتورة البيع","1","1","1/8/2023 1:59:22 PM","","1/8/2023 1:59:22 PM","0","0"
"188","0","49894","0","فاتورة البيع","1","1","11/10/2021 12:29:21 AM","","11/10/2021 12:29:21 AM","0","0"
"189","0","66123","0","فاتورة البيع","1","1","7/29/2022 7:08:20 PM","","7/29/2022 7:08:20 PM","0","0"
"190","0","50902","0","فاتورة البيع","1","1","11/15/2021 10:52:59 PM","","11/15/2021 10:52:59 PM","0","0"
"191","0","65337","0","فاتورة البيع","1","1","7/31/2021 7:08:27 PM","","7/31/2021 7:08:27 PM","0","0"
"192","0","22024","0","فاتورة البيع","1","1","7/14/2023 9:27:35 PM","","7/14/2023 9:27:35 PM","0","0"
"193","0","26480","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"194","0","66434","0","فاتورة البيع","1","1","8/2/2021 7:06:53 PM","","8/2/2021 7:06:53 PM","0","0"
"195","0","51961","0","فاتورة البيع","1","1","5/28/2024 7:12:48 PM","","5/28/2024 7:12:48 PM","0","0"
"196","0","28518","0","فاتورة البيع","1","1","9/20/2021 6:17:22 PM","","9/20/2021 6:17:22 PM","0","0"
"197","0","47570","0","فاتورة البيع","1","1","11/17/2023 5:18:53 PM","","11/17/2023 5:18:53 PM","0","0"
"198","0","64062","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"199","0","58112","0","فاتورة البيع","1","1","9/22/2021 3:13:34 PM","","9/22/2021 3:13:34 PM","0","0"
"200","0","66407","0","فاتورة البيع","1","1","8/3/2021 9:54:11 PM","","8/3/2021 9:54:11 PM","0","0"
"201","0","35100","0","فاتورة البيع","1","1","8/3/2021 10:00:06 PM","","8/3/2021 10:00:06 PM","0","0"
"202","0","18390","0","فاتورة البيع","1","1","10/16/2023 11:03:54 PM","","10/16/2023 11:03:54 PM","0","0"
"203","0","46503","0","فاتورة البيع","1","1","12/27/2021 9:49:08 PM","","12/27/2021 9:49:08 PM","0","0"
"204","0","28190","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
"205","0","46924","0","فاتورة البيع","1","1","10/12/2021 2:14:42 PM","","10/12/2021 2:14:42 PM","0","0"
"206","0","32158","0","فاتورة البيع","1","1","10/12/2021 2:15:10 PM","","10/12/2021 2:15:10 PM","0","0"
"207","0","50182","0","فاتورة البيع","1","1","9/22/2021 3:13:33 PM","","9/22/2021 3:13:33 PM","0","0"
